Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
1605855600.0,2020-11-20 07-AM,BTCUSDT,18164.8,18404.68,18089.71,18143.03,4940.76,90181847.22
1605852000.0,2020-11-20 06-AM,BTCUSDT,18129.99,18176.01,18060,18164.8,2523.08,45718387.34
1605848400.0,2020-11-20 05-AM,BTCUSDT,18194.79,18225,18045.5,18129.99,2816.69,51043421.97
1605844800.0,2020-11-20 04-AM,BTCUSDT,17955.06,18234,17941.66,18194.79,5089.81,92257335.28
1605841200.0,2020-11-20 03-AM,BTCUSDT,17960.09,18023.03,17931.62,17955.06,2216.0,39840078.26
1605837600.0,2020-11-20 02-AM,BTCUSDT,17960.39,18037.5,17916.74,17960.09,2908.68,52282542.78
1605834000.0,2020-11-20 01-AM,BTCUSDT,17777.25,17967.49,17740.04,17960.39,2739.19,48936228.06
1605830400.0,2020-11-20 12-AM,BTCUSDT,17802.82,17936.42,17753.8,17777.25,2447.22,43691343.65
1605826800.0,2020-11-19 11-PM,BTCUSDT,17859.87,17892.52,17681.36,17802.82,4731.59,84091049.8
1605823200.0,2020-11-19 10-PM,BTCUSDT,17928.48,17951.95,17854.57,17859.87,1769.14,31664699.22
1605819600.0,2020-11-19 09-PM,BTCUSDT,18023.99,18100,17871.64,17928.48,3029.03,54442839.9
1605816000.0,2020-11-19 08-PM,BTCUSDT,17955.8,18039.17,17904.14,18023.99,2386.78,42926780.34
1605812400.0,2020-11-19 07-PM,BTCUSDT,17934.02,17972.22,17869.76,17955.8,2491.42,44640318.09
1605808800.0,2020-11-19 06-PM,BTCUSDT,17969.4,18033.57,17905,17934.02,2565.61,46165000.0
1605805200.0,2020-11-19 05-PM,BTCUSDT,18009.88,18040.02,17882.36,17969.4,2935.41,52707870.42
1605801600.0,2020-11-19 04-PM,BTCUSDT,18045,18119.98,17909.4,18009.88,4905.98,88251617.67
1605798000.0,2020-11-19 03-PM,BTCUSDT,18116.85,18179.8,18010,18045,5240.24,94845991.06
1605794400.0,2020-11-19 02-PM,BTCUSDT,18000.56,18147,17842.79,18116.85,5826.29,104705292.48
1605790800.0,2020-11-19 01-PM,BTCUSDT,17710.5,18006.83,17703.37,18000.56,6319.16,113120498.0
1605787200.0,2020-11-19 12-PM,BTCUSDT,17765.33,17812,17653.24,17710.5,3955.93,70143434.78
1605783600.0,2020-11-19 11-AM,BTCUSDT,17611.77,17778.04,17580.03,17765.33,5188.73,91750479.73
1605780000.0,2020-11-19 10-AM,BTCUSDT,17426.52,17655,17361.89,17611.77,4832.14,84563631.78
1605776400.0,2020-11-19 09-AM,BTCUSDT,17533.42,17635.28,17335.65,17426.52,5045.46,88304539.88
1605772800.0,2020-11-19 08-AM,BTCUSDT,17649.94,17723.81,17388.77,17533.42,6399.33,112248450.89
